Index,CTE,p_error,d_error,i_error,steering_output
1,0.76,0.152,1.52,0.00076,1.67276
2,0.76,0.152,0,0.00152,0.15352
3,0.7593,0.15186,-0.0014,0.0022793,0.152739
4,0.7587,0.15174,-0.0012,0.003038,0.153578
5,0.7579,0.15158,-0.0016,0.0037959,0.153776
6,0.7572,0.15144,-0.0014,0.0045531,0.154593
7,0.7558,0.15116,-0.0028,0.0053089,0.153669
8,0.754,0.1508,-0.0036,0.0060629,0.153263
9,0.7526,0.15052,-0.0028,0.0068155,0.154536
10,0.7502,0.15004,-0.0048,0.0075657,0.152806
11,0.7473,0.14946,-0.0058,0.008313,0.151973
12,0.7452,0.14904,-0.0042,0.0090582,0.153898
13,0.7416,0.14832,-0.0072,0.0097998,0.15092
14,0.7389,0.14778,-0.0054,0.0105387,0.152919
15,0.7344,0.14688,-0.009,0.0112731,0.149153
16,0.7312,0.14624,-0.0064,0.0120043,0.151844
17,0.7258,0.14516,-0.0108,0.0127301,0.14709
18,0.7198,0.14396,-0.012,0.0134499,0.14541
19,0.7154,0.14308,-0.0088,0.0141653,0.148445
20,0.7084,0.14168,-0.014,0.0148737,0.142554
21,0.7007,0.14014,-0.0154,0.0155744,0.140314
22,0.6952,0.13904,-0.011,0.0162696,0.14431
23,0.6863,0.13726,-0.0178,0.0169559,0.136416
24,0.68,0.136,-0.0126,0.0176359,0.141036
25,0.6699,0.13398,-0.0202,0.0183058,0.132086
26,0.6588,0.13176,-0.0222,0.0189646,0.128525
27,0.647,0.1294,-0.0236,0.0196116,0.125412
28,0.6386,0.12772,-0.0168,0.0202502,0.13117
29,0.6254,0.12508,-0.0264,0.0208756,0.119556
30,0.6161,0.12322,-0.0186,0.0214917,0.126112
31,0.6013,0.12026,-0.0296,0.022093,0.112753
32,0.5908,0.11816,-0.021,0.0226838,0.119844
33,0.5745,0.1149,-0.0326,0.0232583,0.105558
34,0.557,0.1114,-0.035,0.0238153,0.100215
35,0.5448,0.10896,-0.0244,0.0243601,0.10892
36,0.5259,0.10518,-0.0378,0.024886,0.092266
37,0.5075,0.1015,-0.0368,0.0253935,0.0900935
38,0.4974,0.09948,-0.0202,0.0258909,0.105171
39,0.4889,0.09778,-0.017,0.0263798,0.10716
40,0.4774,0.09548,-0.023,0.0268572,0.0993372
41,0.4573,0.09146,-0.0402,0.0273145,0.0785745
42,0.4458,0.08916,-0.023,0.0277603,0.0939203
43,0.4309,0.08618,-0.0298,0.0281912,0.0845712
44,0.4218,0.08436,-0.0182,0.028613,0.094773
45,0.4085,0.0817,-0.0266,0.0290215,0.0841215
46,0.3993,0.07986,-0.0184,0.0294208,0.0908808
47,0.3848,0.07696,-0.029,0.0298056,0.0777656
48,0.3745,0.0749,-0.0206,0.0301801,0.0844801
49,0.3583,0.07166,-0.0324,0.0305384,0.0697984
50,0.341,0.0682,-0.0346,0.0308794,0.0644794
51,0.329,0.0658,-0.024,0.0312084,0.0730084
52,0.3104,0.06208,-0.0372,0.0315188,0.0563988
53,0.2975,0.0595,-0.0258,0.0318163,0.0655163
54,0.2776,0.05552,-0.0398,0.0320939,0.0478139
55,0.257,0.0514,-0.0412,0.0323509,0.0425509
56,0.2429,0.04858,-0.0282,0.0325938,0.0529738
57,0.2215,0.0443,-0.0428,0.0328153,0.0343153
58,0.2067,0.04134,-0.0296,0.033022,0.044762
59,0.1841,0.03682,-0.0452,0.0332061,0.0248261
60,0.161,0.0322,-0.0462,0.0333671,0.0193671
61,0.1454,0.02908,-0.0312,0.0335125,0.0313925
62,0.1299,0.02598,-0.031,0.0336424,0.0286224
63,0.1058,0.02116,-0.0482,0.0337482,0.0067082
64,0.0896,0.01792,-0.0324,0.0338378,0.0193578
65,0.0655,0.0131,-0.0482,0.0339033,-0.0011967
66,0.0409,0.00818,-0.0492,0.0339442,-0.0070758
67,0.0248,0.00496,-0.0322,0.033969,0.006729
68,0.0011,0.00022,-0.0474,0.0339701,-0.0132099
69,-0.0147,-0.00294,-0.0316,0.0339554,-0.0005846
70,-0.038,-0.0076,-0.0466,0.0339174,-0.0202826
71,-0.0608,-0.01216,-0.0456,0.0338566,-0.0239034
72,-0.0758,-0.01516,-0.03,0.0337808,-0.0113792
73,-0.0975,-0.0195,-0.0434,0.0336833,-0.0292167
74,-0.1117,-0.02234,-0.0284,0.0335716,-0.0171684
75,-0.1319,-0.02638,-0.0404,0.0334397,-0.0333403
76,-0.1516,-0.03032,-0.0394,0.0332881,-0.0364319
77,-0.1641,-0.03282,-0.025,0.033124,-0.024696
78,-0.1815,-0.0363,-0.0348,0.0329425,-0.0381575
79,-0.1926,-0.03852,-0.0222,0.0327499,-0.0279701
80,-0.2082,-0.04164,-0.0312,0.0325417,-0.0402983
81,-0.2179,-0.04358,-0.0194,0.0323238,-0.0306562
82,-0.2311,-0.04622,-0.0264,0.0320927,-0.0405273
83,-0.2392,-0.04784,-0.0162,0.0318535,-0.0321865
84,-0.2499,-0.04998,-0.0214,0.0316036,-0.0397764
85,-0.2592,-0.05184,-0.0186,0.0313444,-0.0390956
86,-0.2669,-0.05338,-0.0154,0.0310775,-0.0377025
87,-0.271,-0.0542,-0.0082,0.0308065,-0.0315935
88,-0.2758,-0.05516,-0.0096,0.0305307,-0.0342293
89,-0.2781,-0.05562,-0.0046,0.0302526,-0.0299674
